Name;Start;End;Distance
4U 0115+63 ;1-3-1999;1-4-1999;5055
4U 0115+63 ;1-9-2004;1-10-2004;5055
4U 0115+63 ;1-3-2008;1-4-2008;5055
4U 0115+63 ;1-10-2015;1-10-2015;5055
4U 0115+63 ;1-8-2017;1-8-2017;5055
V0332+53 ;1-6-1973;1-9-1973;5734
V0332+53 ;1-11-1983;1-1-1984;5734
1A 0535+262 ;1-4-1975;1-5-1975;1657
1A 0535+262 ;1-12-1977;1-1-1978;1657
1A 0535+262 ;1-10-1980;1-10-1980;1657
1A 0535+262 ;1-6-1983;1-6-1983;1657
1A 0535+262 ;1-3-1989;1-4-1989;1657
1A 0535+262 ;1-1-1994;1-2-1994;1657
1A 0535+262 ;1-8-2005;1-9-2005;1657
1A 0535+262 ;1-12-2009;1-12-2009;1657
1A 0535+262 ;1-2-2011;1-2-2011;1657
1A 0535+262 ;1-11-2020;1-12-2020;1657
MXB 0656-072 ;1-10-2003;1-12-2003;5722
MXB 0656-072 ;1-11-2007;1-12-2007;5722
MXB 0656-072 ;1-2-2008;1-4-2008;5722
MXB 0656-072 ;1-5-2008;1-6-2008;5722
MXB 0656-072 ;1-9-2008;1-11-2008;5722
Cen X-3 ;1-10-1994;1-10-1994;6072
Swift J1626.6-5156 ;1-12-2005;1-12-2005;7904
IGR J00291+5934 ;1-12-2004;1-12-2004;3100
IGR J00291+5934 ;1-8-2008;1-11-2008;3100
IGR J00291+5934 ;1-7-2015;1-7-2015;3100
GRO J0422+32 ;1-8-1992;1-10-1992;2490
GRO J0422+32 ;1-2-1993;1-4-1993;2490
1A 0620-00 ;1-1-1975;6-1-1975;589
XTE J1118+480 ;1-1-2000;1-7-2000;3278
XTE J1118+480 ;1-1-2005;1-1-2005;3278
GS 1124-684 ;1-1-1991;1-1-1991;4240
Cir X-1 ;1-5-2010;1-5-2010;9400
GRS 1915+105 ;1-1-1992;1-1-2018;11000
4U 1915-05 ;1-6-1991;1-12-1991;8800
MAXI J1409-619 ;1-12-2010;1-2-2011;14500
GX 339-4;1-1-1981;1-1-1981;6494
GX 339-4;1-6-1991;1-10-1991;6494
GX 339-4;1-9-1992;1-1-1993;6494
